timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:33:26.384, 69, 2835 MHz, 230.27 W, 100 %, 9637 MiB
2026/09/19 10:33:27.384, 69, 2835 MHz, 230.42 W, 100 %, 9637 MiB
2026/09/19 10:33:28.384, 69, 2835 MHz, 230.07 W, 100 %, 9637 MiB
2026/09/19 10:33:29.384, 70, 2835 MHz, 235.57 W, 99 %, 9637 MiB
2026/09/19 10:33:30.385, 71, 2820 MHz, 252.62 W, 100 %, 9637 MiB
2026/09/19 10:33:31.385, 72, 2820 MHz, 252.48 W, 100 %, 9637 MiB
2026/09/19 10:33:32.385, 73, 2820 MHz, 255.50 W, 100 %, 9637 MiB
2026/09/19 10:33:33.385, 73, 2820 MHz, 256.29 W, 100 %, 9637 MiB
2026/09/19 10:33:34.385, 72, 2790 MHz, 257.92 W, 100 %, 9637 MiB
2026/09/19 10:33:35.385, 72, 2775 MHz, 258.99 W, 100 %, 9637 MiB
2026/09/19 10:33:36.385, 74, 2820 MHz, 258.44 W, 99 %, 9637 MiB
2026/09/19 10:33:37.386, 67, 2820 MHz, 251.47 W, 100 %, 9637 MiB
2026/09/19 10:33:38.386, 69, 2820 MHz, 224.77 W, 100 %, 9637 MiB
2026/09/19 10:33:39.386, 69, 2820 MHz, 230.27 W, 100 %, 9637 MiB
2026/09/19 10:33:40.386, 69, 2820 MHz, 230.02 W, 100 %, 9637 MiB
